state,called,dem_votes,rep_votes,,,,,,,,,,,,,,,,,
Alabama,R,"849,624","1,441,170",,,,,,,,,,,,,,,,,
Alaska,R,"153,778","189,951",,,,,,,,,,,,,,,,,
Arizona,D,"1,672,143","1,661,686",,,,,,,,,,,,,,,,,
Arkansas,R,"423,932","760,647",,,,,,,,,,,,,,,,,
California,D,"11,110,250","6,006,429",,,,,,,,,,,,,,,,,
Colorado,D,"1,804,352","1,364,607",,,,,,,,,,,,,,,,,
Connecticut,D,"1,080,831","714,717",,,,,,,,,,,,,,,,,
Delaware,D,"296,268","200,603",,,,,,,,,,,,,,,,,
District of Columbia,D,"317,323","18,586",,,,,,,,,,,,,,,,,
Florida,R,"5,297,045","5,668,731",,,,,,,,,,,,,,,,,
Georgia,D,"2,473,633","2,461,854",,,,,,,,,,,,,,,,,
Hawaii,D,"366,130","196,864",,,,,,,,,,,,,,,,,
Idaho,R,"287,021","554,119",,,,,,,,,,,,,,,,,
Illinois,D,"3,471,915","2,446,891",,,,,,,,,,,,,,,,,
Indiana,R,"1,242,413","1,729,516",,,,,,,,,,,,,,,,,
Iowa,R,"759,061","897,672",,,,,,,,,,,,,,,,,
Kansas,R,"570,323","771,406",,,,,,,,,,,,,,,,,
Kentucky,R,"772,474","1,326,646",,,,,,,,,,,,,,,,,
Louisiana,R,"856,034","1,255,776",,,,,,,,,,,,,,,,,
Maine,D,"435,072","360,737",,,,,,,,,,,,,,,,,
Maine 1st District,D,"266,376","164,045",,,,,,,,,,,,,,,,,
Maine 2nd District,R,"168,696","196,692",,,,,,,,,,,,,,,,,
Maryland,D,"1,985,023","976,414",,,,,,,,,,,,,,,,,
Massachusetts,D,"2,382,202","1,167,202",,,,,,,,,,,,,,,,,
Michigan,D,"2,804,040","2,649,852",,,,,,,,,,,,,,,,,
Minnesota,D,"1,717,077","1,484,065",,,,,,,,,,,,,,,,,
Mississippi,R,"539,508","756,789",,,,,,,,,,,,,,,,,
Missouri,R,"1,253,014","1,718,736",,,,,,,,,,,,,,,,,
Montana,R,"244,786","343,602",,,,,,,,,,,,,,,,,
Nebraska,R,"374,583","556,846",,,,,,,,,,,,,,,,,
Nebraska 1st District,R,"132,261","180,290",,,,,,,,,,,,,,,,,
Nebraska 2nd District,D,"176,468","154,377",,,,,,,,,,,,,,,,,
Nebraska 3rd District,R,"65,854","222,179",,,,,,,,,,,,,,,,,
Nevada,D,"703,486","669,890",,,,,,,,,,,,,,,,,
New Hampshire,D,"424,921","365,654",,,,,,,,,,,,,,,,,
New Jersey,D,"2,608,335","1,883,274",,,,,,,,,,,,,,,,,
New Mexico,D,"501,614","401,894",,,,,,,,,,,,,,,,,
New York,D,"5,244,886","3,251,997",,,,,,,,,,,,,,,,,
North Carolina,R,"2,684,292","2,758,775",,,,,,,,,,,,,,,,,
North Dakota,R,"114,902","235,595",,,,,,,,,,,,,,,,,
Ohio,R,"2,679,165","3,154,834",,,,,,,,,,,,,,,,,
Oklahoma,R,"503,890","1,020,280",,,,,,,,,,,,,,,,,
Oregon,D,"1,340,383","958,448",,,,,,,,,,,,,,,,,
Pennsylvania,D,"3,458,229","3,377,674",,,,,,,,,,,,,,,,,
Rhode Island,D,"307,486","199,922",,,,,,,,,,,,,,,,,
South Carolina,R,"1,091,541","1,385,103",,,,,,,,,,,,,,,,,
South Dakota,R,"150,471","261,043",,,,,,,,,,,,,,,,,
Tennessee,R,"1,143,711","1,852,475",,,,,,,,,,,,,,,,,
Texas,R,"5,259,126","5,890,347",,,,,,,,,,,,,,,,,
Utah,R,"560,282","865,140",,,,,,,,,,,,,,,,,
Vermont,D,"242,820","112,704",,,,,,,,,,,,,,,,,
Virginia,D,"2,413,568","1,962,430",,,,,,,,,,,,,,,,,
Washington,D,"2,369,612","1,584,651",,,,,,,,,,,,,,,,,
West Virginia,R,"235,984","545,382",,,,,,,,,,,,,,,,,
Wisconsin,D,"1,630,866","1,610,184",,,,,,,,,,,,,,,,,
Wyoming,R,"73,491","193,559",,,,,,,,,,,,,,,,,