State,Pop Density Per mi^2,,,,,,
Alabama,99.2,,,,,,
Alaska,1.3,,,,,,
Arizona,63,,,,,,
Arkansas,57.9,,,,,,
California,254,,,,,,
Colorado,54.3,,,,,,
Connecticut,745,,,,,,
Delaware,508,,,,,,
Florida,402,,,,,,
Georgia,186,,,,,,
Hawaii,227,,,,,,
Idaho,22.3,,,,,,
Illinois,231,,,,,,
Indiana,189,,,,,,
Iowa,57.1,,,,,,
Kansas,35.9,,,,,,
Kentucky,114,,,,,,
Louisiana,108,,,,,,
Maine,44.2,,,,,,
Maryland,636,,,,,,
Massachusetts,901,,,,,,
Michigan,178,,,,,,
Minnesota,71.7,,,,,,
Mississippi,63.1,,,,,,
Missouri,89.5,,,,,,
Montana,7.5,,,,,,
Nebraska,25.5,,,,,,
Nevada,28.3,,,,,,
New Hampshire,154,,,,,,
New Jersey,1263,,,,,,
New Mexico,17.5,,,,,,
New York,429,,,,,,
North Carolina,215,,,,,,
North Dakota,11.3,,,,,,
Ohio,289,,,,,,
Oklahoma,57.7,,,,,,
Oregon,44.1,,,,,,
Pennsylvania,291,,,,,,
Rhode Island,1061,,,,,,
South Carolina,170,,,,,,
South Dakota,11.7,,,,,,
Tennessee,168,,,,,,
Texas,112,,,,,,
Utah,39.8,,,,,,
Vermont,69.8,,,,,,
Virginia,219,,,,,,
Washington,116,,,,,,
West Virginia,74.6,,,,,,
Wisconsin,109,,,,,,
Wyoming,5.9,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,